cell_type,marker
B_cells,CD38
B_cells,CD86
B_cells,FCRL5
B_cells,RNA_PNOC
B_cells,CD79A
B_cells,CD27
B_cells,RNA_CD19
B_cells,CD5
B_cells,TAGLN2
B_cells,CD69
B_cells,CD27
B_cells,HLADR
B_cells,CD19
B_cells,IGHM
B_cells,CD79A
B_cells,CD74
B_cells,CD27
B_cells,CD19
B_cells,CD86
B_cells,MHC class II
B_cells,CD71
B_cells,CD19
B_cells,CD20
CD8+_T_cells,CD3E
CD8+_T_cells,CD8A
CD8+_T_cells,GZMB
CD8+_T_cells,NKG7
CD8+_T_cells,GZMH
CD8+_T_cells,CCL5
CD8+_T_cells,CD8A
CD8+_T_cells,CCL5
CD8+_T_cells,CD3D
CD8+_T_cells,CD8
CD8+_T_cells,HLADR
CD8+_T_cells,CD3
CD8+_T_cells,CD38
CD8+_T_cells,CD3
CD8+_T_cells,CD8¦Á
CD8+_T_cells,NFAT
CD8+_T_cells,CD45
CD8+_T_cells,Ki67
CD8+_T_cells,CCL5
CD8+_T_cells,CD8B
CD8+_T_cells,CD8A
CD8+_T_cells,HLA-DR
CD8+_T_cells,CD8
CD8+_T_cells,CD45
CD8+_T_cells,TCR?
CD8+_T_cells,CD44
CD8+_T_cells,IFNG
aDCs,CCR7
aDCs,BIRC3
aDCs,CCL22
aDCs,CCR7
aDCs,INDO
aDCs,LAMP3
aDCs,OAS3
aDCs,EBI3
aDCs,CCL1
CD8+_T_cells,CXCR5
CD8+_T_cells,CD8
Macrophages,CD45
Macrophages,HLA
Macrophages,CD68
Macrophages,CD206
CD8+_T_cells,CD69
CD8+_T_cells,CD45RO
CD8+_T_cells,CD8
CD8+_T_cells,CD69
CD8+_T_cells,CD45RA
CD8+_T_cells,CD103
CD8+_T_cells,CXCR5
CD8+_T_cells,CD16
CD8+_T_cells,CD69
CD8+_T_cells,CD8
CD8+_T_cells,HLA-DR
CD8+_T_cells,CD95
B_cells,IGKC
B_cells,IGHG3
B_cells,MS4A1
B_cells,CD19
B_cells,CD7
B_cells,CD3D
B_cells,CD79A
B_cells,MZB1
B_cells,CD79A
B_cells,CD79A
B_cells,CD20
B_cells,CD79A
B_cells,CD19
B_cells,MS4A1
B_cells,CD19
B_cells,CD19
B_cells,FMC7
B_cells,Leu-12
B_cells,CD19
B_cells,CD27
B_cells,IgM
B_cells,CD19
B_cells,CD19
B_cells,CD257
B_cells,AID
B_cells,CD86
B_cells,CD71
B_cells,CD28
